time_to_close_days,item_type,time_open_days
0.0,16,16
1.0,6,6
2.0,3,3
3.0,3,3
5.0,4,4
6.0,3,3
7.0,2,2
8.0,1,1
9.0,3,3
14.0,2,2
15.0,1,1
16.0,1,1
23.0,1,1
24.0,1,1
26.0,1,1
32.0,1,1
43.0,1,1
81.0,1,1
